sample	cb-lddt
T0950_069	0.8370
T0950_150	1.0000
T0950_071	0.8867
T0950_130	0.9907
T0950_149	1.0000
T0950_142	0.8978
T0950_095	0.8958
T0950_008	0.8591
T0950_125	0.9344
T0950_144	1.0000
T0950_173	0.9388
T0950_094	0.8934
T0950_153	1.0000
T0950_107	0.6373
T0950_100	0.9936
T0950_116	0.9995
T0950_133	0.9595
T0950_174	1.0000
T0950_117	0.9993
T0950_086	0.9131
T0950_106	0.6722
T0950_101	0.9787
T0950_035	1.0000
native	1.0000
T0950_132	0.9941
T0950_041	0.9197
T0950_072	0.8610
T0950_162	0.9394
T0950_046	0.9762
T0950_118	0.9753
T0950_051	0.9703
T0950_059	0.9457
T0950_172	0.9343
T0950_091	0.9082
T0950_027	0.9769
T0950_111	0.9311
T0950_103	0.6437
T0950_168	0.9304
T0950_128	0.9946
T0950_179	0.9596
T0950_183	0.9096
T0950_005	0.9567
T0950_043	0.9198
T0950_021	0.9945
T0950_001	0.9997
T0950_160	0.9819
T0950_010	0.9630
T0950_156	0.9776
T0950_178	1.0000
T0950_165	0.9941
T0950_112	0.9460
T0950_062	0.9146
T0950_148	1.0000
T0950_181	0.9642
T0950_157	0.9751
T0950_166	0.9994
T0950_012	0.9479
T0950_085	0.9478
T0950_038	1.0000
T0950_018	0.9989
T0950_076	0.9773
T0950_067	0.9528
T0950_170	0.9250
T0950_136	0.9999
T0950_159	0.9740
T0950_164	0.9997
T0950_089	0.8860
T0950_105	0.6402
T0950_074	0.9629
T0950_147	1.0000
T0950_152	1.0000
T0950_070	0.8418
T0950_163	0.9585
T0950_055	0.9038
T0950_023	0.9752
T0950_129	0.9938
T0950_090	0.9075
T0950_057	0.9697
T0950_110	0.9376
T0950_137	0.9987
T0950_002	0.9951
T0950_124	0.9512
T0950_068	0.8212
T0950_036	1.0000
T0950_127	0.9647
T0950_081	1.0000
T0950_013	0.9529
T0950_131	0.9837
T0950_019	0.9908
T0950_060	0.9568
T0950_080	1.0000
T0950_016	1.0000
T0950_015	1.0000
T0950_109	0.9307
T0950_026	0.9622
T0950_007	0.8821
T0950_180	0.9591
T0950_024	0.9682
T0950_011	0.9528
T0950_020	0.9755
T0950_141	0.9573
T0950_154	0.9743
T0950_143	0.9594
T0950_058	0.9888
T0950_114	0.9993
T0950_102	0.9776
T0950_014	1.0000
T0950_025	0.9558
T0950_182	0.9577
T0950_092	0.9963
T0950_158	0.7214
T0950_104	0.6906
T0950_135	0.9985
T0950_044	0.9976
T0950_054	0.9053
T0950_121	0.9784
T0950_139	0.8899
T0950_120	0.9810
T0950_175	0.9999
T0950_017	1.0000
T0950_115	0.9124
T0950_145	1.0000
T0950_047	0.9743
T0950_079	1.0000
T0950_099	0.9916
T0950_064	0.9693
T0950_061	0.9457
T0950_119	0.9846
T0950_053	0.9535
T0950_087	0.9314
T0950_075	0.9929
T0950_084	0.8973
T0950_082	1.0000
T0950_126	0.9665
T0950_049	0.9680
T0950_093	0.8935
T0950_078	1.0000
T0950_113	0.9993
T0950_066	0.9645
T0950_134	0.9994
T0950_063	0.9587
T0950_052	0.9697
T0950_097	0.9799
T0950_028	0.9672
T0950_176	0.9983
T0950_003	0.9679
T0950_123	0.9574
T0950_138	0.9368
T0950_146	1.0000
T0950_088	0.9658
T0950_004	1.0000
T0950_006	0.9242
T0950_034	1.0000
T0950_122	0.9906
T0950_096	0.8655
T0950_040	0.9151
T0950_045	0.9936
T0950_039	0.9104
T0950_022	0.9752
T0950_161	0.9683
T0950_042	0.9099
T0950_155	0.9773
T0950_169	0.9703
T0950_048	0.9765
T0950_009	0.9422
T0950_108	0.9429
T0950_037	0.9998
T0950_140	0.9810
T0950_065	0.9761
T0950_083	0.9072
T0950_098	0.9765
T0950_151	1.0000
T0950_077	0.9773
T0950_050	0.9734
T0950_171	0.9475
T0950_073	0.9967
T0950_177	1.0000
T0950_056	0.9680
T0950_167	1.0000
